|-------------------|-------|--------|---------|---------|-----------------------------|
| name              | balls | avg    | economy | wickets | auction_price(lakhs of INR) |
|-------------------|-------|--------|---------|---------|-----------------------------|
| Z Khan            | 2276  | 24.034 | 7.54    | 119     | 420.03                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| JH Kallis         | 1799  | 31.73  | 7.831   | 74      | 513.37                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| SB Joshi          | 55    | 82     | 8.945   | 1       | 20                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| CL White          | 46    | 86     | 11.217  | 1       | 513.37                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| P Kumar           | 2637  | 32.765 | 7.604   | 102     | 221.6825                    |
|-------------------|-------|--------|---------|---------|-----------------------------|
| AB Agarkar        | 820   | 35.576 | 8.59    | 33      | 98.007                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| LR Shukla         | 326   | 26.941 | 8.429   | 17      | 40                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| I Sharma          | 2018  | 36.726 | 7.971   | 73      | 70.005                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| AB Dinda          | 1589  | 25.646 | 7.941   | 82      | 175.0125                    |
|-------------------|-------|--------|---------|---------|-----------------------------|
| JDP Oram          | 244   | 27.846 | 8.902   | 13      | 29.27505                    |
|-------------------|-------|--------|---------|---------|-----------------------------|
| JR Hopes          | 369   | 40.143 | 9.138   | 14      | 163.345                     |
|-------------------|-------|--------|---------|---------|-----------------------------|
| MS Gony           | 925   | 33.769 | 8.543   | 39      | 135.343                     |
|-------------------|-------|--------|---------|---------|-----------------------------|
| PP Chawla         | 3285  | 26.402 | 7.909   | 164     | 420.03                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| IK Pathan         | 2113  | 27.384 | 7.698   | 99      | 886.73                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| S Sreesanth       | 947   | 28.395 | 7.736   | 43      | 420.03                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| B Lee             | 916   | 37.533 | 7.376   | 30      | 186.68                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| M Muralitharan    | 1577  | 26.591 | 6.677   | 66      | 513.37                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| Joginder Sharma   | 272   | 32.385 | 9.287   | 13      | 70.005                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| YK Pathan         | 1184  | 31.37  | 7.312   | 46      | 886.73                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| D Salunkhe        | 51    | 80     | 9.412   | 1       | 10                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| SR Watson         | 2137  | 25.626 | 7.699   | 107     | 400                         |
|-------------------|-------|--------|---------|---------|-----------------------------|
| SK Trivedi        | 1557  | 26.63  | 7.491   | 73      | 10                          |
|-------------------|-------|--------|---------|---------|-----------------------------|
| DL Vettori        | 785   | 26.294 | 6.833   | 34      | 256.685                     |
|-------------------|-------|--------|---------|---------|-----------------------------|
| MM Patel          | 1382  | 21.134 | 7.524   | 82      | 135.343                     |
|-------------------|-------|--------|---------|---------|-----------------------------|
| R Bhatia          | 1661  | 25.11  | 7.438   | 82      | 170                         |
|-------------------|-------|--------|---------|---------|-----------------------------|
| R Vinay Kumar     | 2179  | 23.787 | 8.318   | 127     | 280                         |
|-------------------|-------|--------|---------|---------|-----------------------------|
| A Nehra           | 1974  | 20.967 | 7.711   | 121     | 396.695                     |
|-------------------|-------|--------|---------|---------|-----------------------------|
| DS Kulkarni       | 1850  | 27.088 | 7.995   | 91      | 110                         |
|-------------------|-------|--------|---------|---------|-----------------------------|
| AM Nayar          | 239   | 35.889 | 8.109   | 9       | 373.36                      |
|-------------------|-------|--------|---------|---------|-----------------------------|
| Harbhajan Singh   | 3451  | 25.081 | 7.021   | 161     | 44.3365                     |
|-------------------|-------|--------|---------|---------|-----------------------------|
| RP Singh          | 1874  | 24.17  | 7.739   | 100     | 44.3365                     |
|-------------------|-------|--------|---------|---------|-----------------------------|
