name,runs,balls,avg,strike_rate,auction_price(lakhs of INR)
RG Sharma,4902,3742,30.4472,130.9995,70.005
DA Warner,4717,3292,41.37719,143.2868,350.025
S Dhawan,4601,3665,33.58394,125.5389,140.01
CH Gayle,4525,2972,41.13636,152.2544,200
RV Uthappa,4420,3381,28.33333,130.7306,980.07
AB de Villiers,4414,2902,42.44231,152.102,513.37
G Gambhir,4219,3400,31.48507,124.0882,1120.08
AM Rahane,3834,3133,32.76923,122.3747,400
KD Karthik,3669,2813,26.58696,130.4301,420.03
SR Watson,3590,2566,31.21739,139.9065,400
AT Rayudu,3313,2616,29.0614,126.6437,220
YK Pathan,3222,2240,29.29091,143.8393,886.73
BB McCullum,2886,2185,27.22642,132.0824,46.67
PA Patel,2864,2352,22.55118,121.7687,135.343
MK Pandey,2855,2352,30.05263,121.3861,150
KA Pollard,2772,1879,27.17647,147.5253,342.975
Yuvraj Singh,2755,2121,25.27523,129.8916,44.3365
V Sehwag,2728,1746,27.83673,156.2428,320
M Vijay,2589,2104,27.83871,123.0513,10
SE Marsh,2489,1866,38.29231,133.3869,135.343
JH Kallis,2427,2219,27.26966,109.3736,513.37
DR Smith,2385,1758,29.44444,135.6655,48.41
SR Tendulkar,2334,1943,32.87324,120.1235,20
SV Samson,2215,1693,28.03797,130.8328,800
R Dravid,2174,1877,28.23377,115.8231,233.35
AC Gilchrist,2069,1492,27.22368,138.6729,420.03
SPD Smith,2038,1570,34.54237,129.8089,48.41
JP Duminy,2031,1633,41.44898,124.3723,459.895
KL Rahul,1988,1428,40.57143,139.2157,100
MEK Hussey,1977,1608,38.01923,122.9478,198.3475
RA Jadeja,1931,1567,23.26506,123.2291,443.365
F du Plessis,1861,1459,33.23214,127.5531,56.004
DA Miller,1858,1327,34.40741,140.0151,75
DPMD Jayawardene,1808,1460,28.25,123.8356,700.05
WP Saha,1767,1340,23.87838,131.8657,46.67
RR Pant,1767,1071,36.06122,164.986,190
AJ Finch,1741,1332,26.37879,130.7057,140.01
MK Tiwary,1696,1446,28.26667,117.2891,746.72
SS Iyer,1695,1321,29.73684,128.3119,260
KC Sangakkara,1687,1387,24.44928,121.6294,326.69
NV Ojha,1555,1308,21.01351,118.8838,126.009
Mandeep Singh,1535,1227,21.61972,125.1019,44.3365
DJ Bravo,1494,1155,23.71429,129.3506,93.34
Q de Kock,1478,1109,32.13043,133.2732,513.37
KK Nair,1465,1137,24.01639,128.8478,75
S Badrinath,1441,1210,30.02083,119.0909,373.36
AD Russell,1415,752,34.5122,188.1649,257.175
GJ Maxwell,1401,864,22.59677,162.1528,585.501
BJ Hodge,1400,1117,30.43478,125.3357,198.3475
JC Buttler,1396,919,37.72973,151.9042,440
DJ Hussey,1322,1069,27.54167,123.667,198.3475
KS Williamson,1309,964,38.5,135.7884,60
CA Lynn,1288,909,34.81081,141.6942,9.334
SS Tiwary,1276,1064,30.38095,119.9248,746.72
MA Agarwal,1269,988,18.9403,128.4413,160
TM Dilshan,1153,1006,28.12195,114.6123,303.355
IK Pathan,1150,948,22.11538,121.308,886.73
N Rana,1093,808,27.325,135.2723,20
KM Jadhav,1087,851,23.63043,127.7321,200
HH Pandya,1082,689,28.47368,157.0392,10
LRPL Taylor,1017,818,24.80488,124.3276,72.615
M Vohra,1013,767,24.11905,132.073,110
KP Pietersen,1001,740,35.75,135.2703,750.355
AS Yadav,995,746,28.42857,133.378,350.025
Y Venugopal Rao,985,834,23.45238,118.1055,55
JA Morkel,975,682,24.375,142.9619,221.6825
A Symonds,974,748,37.46154,130.2139,396.695
CL White,971,760,27.74286,127.7632,513.37
MC Henriques,969,756,27.68571,128.1746,23.335
KH Pandya,897,609,28.03125,147.2906,10
HH Gibbs,886,802,27.6875,110.4738,28.575
STR Binny,880,683,20,128.8433,50
EJG Morgan,854,702,22.47368,121.6524,100.606
Harbhajan Singh,831,597,14.83929,139.196,44.3365
AR Patel,800,628,18.60465,127.3885,135.343
MS Bisla,798,697,21.56757,114.4907,60
SP Narine,785,458,19.625,171.3974,400.05
RA Tripathi,761,553,28.18519,137.613,60
Shakib Al Hasan,750,588,22.05882,127.551,198.3475
GC Smith,739,666,24.63333,110.961,48.41
AD Mathews,724,573,23.35484,126.3525,443.365
Ishan Kishan,701,531,22.6129,132.0151,620
TL Suman,676,573,22.53333,117.9756,10
AM Nayar,672,574,17.23077,117.0732,373.36
GJ Bailey,663,543,22.86207,122.0994,24.205
BA Stokes,641,481,21.36667,133.264,1250
SA Yadav,608,465,20.96552,130.7527,350.025
JD Ryder,604,456,20.82759,132.4561,77.456
P Shaw,604,423,25.16667,142.7896,120
PP Chawla,584,519,11.68,112.5241,420.03
V Shankar,563,416,33.11765,135.3365,10
CJ Anderson,538,423,24.45455,127.1868,450
RS Bopara,531,452,27.94737,117.4779,217.845
JP Faulkner,527,387,18.82143,136.1757,108.585
DJ Hooda,526,413,15.93939,127.3608,50
CH Morris,519,327,25.95,158.7156,365.938125
M Manhas,514,469,21.41667,109.5949,30
S Gill,510,377,36.42857,135.2785,180
OA Shah,506,386,38.92308,131.0881,133.1275
MP Stoinis,476,362,31.73333,131.4917,25
J Bairstow,459,284,57.375,161.6197,220
DT Christian,448,373,18.66667,120.1072,420.03
Gurkeerat Singh,443,342,17.03846,129.5322,44.3365
E Lewis,437,327,27.3125,133.6391,380
NLTC Perera,424,305,17.66667,139.0164,22.865
JR Hopes,417,305,24.52941,136.7213,163.345
SN Khan,412,285,22.88889,144.5614,420.03
J Botha,409,358,18.59091,114.2458,443.365
LR Shukla,405,346,13.96552,117.052,40
CA Pujara,390,391,21.66667,99.74425,326.69
Azhar Mahmood,388,302,20.42105,128.4768,114.3
R Ashwin,376,336,11.39394,111.9048,396.695
A Mishra,366,385,12.62069,95.06494,140.01
P Negi,365,288,14.03846,126.7361,10
R Bhatia,342,284,11.7931,120.4225,170
P Kumar,340,314,10,108.2803,221.6825
AP Tare,339,273,14.125,124.1758,160
SW Billings,337,250,17.73684,134.8,100
JEC Franklin,327,300,29.72727,109,46.67
RN ten Doeschate,326,234,19.17647,139.3162,70.005
KV Sharma,317,270,15.09524,117.4074,70.005
R Vinay Kumar,310,271,11.92308,114.3911,280
DB Das,304,260,25.33333,116.9231,20
C de Grandhomme,304,223,20.26667,136.3229,513.37
M Ali,302,177,30.2,170.6215,170
LA Pomersbach,302,244,27.45455,123.7705,23.335
UBT Chand,300,300,15,100,65
SP Goswami,295,290,16.38889,101.7241,100
DJG Sammy,295,241,19.66667,122.4066,248.837925
VVS Laxman,282,266,17.625,106.015,186.68
GH Vihari,280,312,15.55556,89.74359,10
MJ Lumb,278,193,27.8,144.0415,37.336
MJ Guptill,271,196,22.58333,138.2653,100
R Sathish,270,231,16.875,116.8831,20
M Kaif,259,249,16.1875,104.0161,114.325
BCJ Cutting,239,141,21.72727,169.5035,80
MD Mishra,237,208,15.8,113.9423,140.01
MR Marsh,225,196,18.75,114.7959,135.343
TM Head,205,148,34.16667,138.5135,50
PD Collingwood,203,156,50.75,130.1282,133.1275
YV Takawale,192,178,24,107.8652,10
Bipul Sharma,187,121,31.16667,154.5455,70.005
C Ingram,184,154,18.4,119.4805,46.67
B Kumar,184,189,8,97.3545,221.6825
JJ Roy,183,135,36.6,135.5556,150
CR Brathwaite,182,110,13,165.4545,200
AC Voges,181,142,30.16667,127.4648,22.865
AB Agarkar,179,152,22.375,117.7632,98.007
C Munro,178,141,19.77778,126.2411,190
DH Yagnik,170,135,18.88889,125.9259,30
N Pooran,170,106,28.33333,160.3774,420
CM Gautam,169,148,18.77778,114.1892,20
MG Johnson,168,161,12,104.3478,171.45
MN van Wyk,167,132,55.66667,126.5152,23.335
DW Steyn,166,157,7.545455,105.7325,560.04
PA Reddy,164,160,16.4,102.5,20
R Parag,161,126,40.25,127.7778,20
Ankit Sharma,160,108,16,148.1481,70.005
RE van der Merwe,159,141,14.45455,112.766,23.335
R McLaren,159,169,19.875,94.08284,29.27505
R Dhawan,153,135,21.85714,113.3333,140.01
K Gowtham,145,83,12.08333,174.6988,620
Mohammad Nabi,142,91,17.75,156.044,100
N Saini,142,144,11.83333,98.61111,300
Sachin Baby,137,101,15.22222,135.6436,20
S Anirudha,136,110,17,123.6364,20
SB Styris,131,133,18.71429,98.49624,93.34
W Jaffer,130,121,18.57143,107.438,10
S Gopal,129,118,16.125,109.322,10
D Wiese,127,90,25.4,141.1111,280
P Dogra,127,138,10.58333,92.02899,400
M Morkel,126,90,11.45455,140,221.6825
MC Juneja,125,127,17.85714,98.4252,10
B Lee,124,96,12.4,129.1667,186.68
MM Sharma,123,117,8.785714,105.1282,70.005
AB McDonald,123,99,24.6,124.2424,37.336
UT Yadav,122,124,10.16667,98.3871,350.025
Niraj Patel,121,118,24.2,102.5424,135.343
DL Vettori,121,109,17.28571,111.0092,256.685
AC Blizzard,120,89,17.14286,134.8315,9.334
RJ Harris,117,111,9.75,105.4054,151.6775
Z Khan,117,138,7.8,84.78261,420.03
D Short,116,99,16.57143,117.1717,400
KK Cooper,116,68,12.88889,170.5882,28.575
TG Southee,115,90,19.16667,127.7778,120
R Tewatia,115,89,16.42857,129.2135,10
M Kartik,113,108,16.14286,104.6296,186.68
DJ Harris,111,101,37,109.901,151.6775
HV Patel,107,68,13.375,157.3529,135.343
JDP Oram,106,108,13.25,98.14815,29.27505
